song,bpm,energy,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroids
Alignment - Future Dancefloor [VNR043  A2].mp3,142,0.09535110547801015,0.08623451,0.18688068,0.21951826,0.1600152,0.25430158,0.22784923,0.36258823,0.38293797,0.41520366,0.26924258,0.3306129,0.2861528,-40.934227,61.73688,-2.6276906,24.421518,14.87484,17.427807,3.800526,12.009716,2.6108787,6.660058,-3.239238,5.17237,2.6176212,6.8057895,1.6043059,5.2440295,-0.9085439,3.1593401,-1.6915771,2.7883792,2831.1722066666257
AMRK - Exhausted (ft. Dr. Pops) [FREE DL].mp3,160,0.1702058162954539,0.39248544,0.24616301,0.2333971,0.16353707,0.13842753,0.13712497,0.1638325,0.25364098,0.38951215,0.38525638,0.248456,0.2771834,-80.006935,78.36889,8.777784,17.523176,7.7936025,16.551767,4.664788,9.156465,1.4852759,8.025877,2.8923144,7.1866803,1.0975273,3.7270432,-0.1364483,2.6102276,-1.2028092,3.3526971,-1.1798923,3.128609,2381.0414066825006
Arman John - Phased Reality.mp3,156,0.11781063097553138,0.31094489,0.22824502,0.26611346,0.22767228,0.21882507,0.2705084,0.27813447,0.380765,0.29089034,0.26293644,0.27624267,0.25611278,-14.309011,64.05343,11.84293,12.265407,2.2046754,11.827059,-2.3165982,3.6830308,-0.8345348,6.600571,0.66721094,3.3665767,-3.0135891,0.15701243,-3.6980152,0.27694163,-2.9843378,2.0451756,-0.61415267,1.6374936,2930.4459037870465
Armin van Buuren - Computers Take Over The World.mp3,140,0.10921509813172071,0.23859276,0.15876038,0.22011608,0.22399797,0.27153257,0.4699987,0.4411125,0.2668682,0.21162796,0.2655793,0.22348048,0.11353525,-67.95459,79.264305,2.997911,22.378458,1.6154883,12.908018,1.4458649,8.130984,-4.598261,7.8104854,-1.0394323,3.2480552,-4.1778584,5.239238,-3.1638272,1.5869393,-3.4189692,2.736461,-2.5259216,1.7548804,2503.8820184144347
Ascendant Vierge - Influenceur (Nyctonian Industrial Remix)[FREE WAV DOWNLOAD].mp3,160,0.06335027092349627,0.16575684,0.15558958,0.39135394,0.29827967,0.1861044,0.16096158,0.17551893,0.3423798,0.29325143,0.26871455,0.3420451,0.17570801,-77.37964,103.34386,6.278468,18.678259,7.832669,11.962888,3.839498,6.963005,2.2664976,5.5734835,0.64182895,6.827039,-0.51161355,2.820007,-0.84803104,2.5879667,-0.6346799,1.0814545,-2.6545477,-1.2333281,2062.110295030671
Ascendant Vierge - Influenceur (Onelas Edit) FREE DL.mp3,150,0.11119199980268718,0.24021766,0.21867321,0.2677478,0.21512853,0.20478925,0.29749253,0.27723202,0.3971752,0.25724298,0.24051593,0.30450493,0.32721093,-91.90266,68.896164,22.929731,16.959833,10.490317,19.282217,4.0740495,9.657737,-1.0081927,8.832164,-1.0529832,2.0808156,-2.2106552,2.6633384,-0.85896844,3.54719,-2.9666502,-0.8436558,-3.7215056,-2.5664425,2664.8828623215936
Ayo Technology (Kølab Rave Edit).mp3,163,0.1364041990074679,0.21302558,0.22810078,0.18082865,0.27236164,0.24429089,0.23657095,0.2607284,0.36641565,0.33418798,0.3675297,0.22932713,0.2575154,-69.83718,91.23051,8.223493,18.491415,16.599493,14.146628,0.3030358,7.520318,2.981766,5.986495,0.2734603,3.111446,-0.28467152,2.2462106,0.43549004,3.7107327,-2.3163903,0.8801025,-2.110923,0.58820504,2256.5843090471085
BICEP - Glue (Rialians On Earth Remix  ACOR HT Rework) [MORC014].mp3,150,0.20174741788579542,0.2842242,0.18408695,0.23062114,0.16625345,0.3071359,0.21483761,0.37195107,0.26114014,0.29749438,0.23182036,0.3009159,0.31126025,-17.757954,55.05516,-9.192843,28.081747,13.929515,23.538166,-0.7163832,4.5286865,-2.5247796,4.620391,-3.2776315,-0.30880672,-6.1653376,-0.61054647,-10.585599,-0.3241957,-3.1874027,2.2351918,-8.217925,-1.5396901,2716.5274941047837
Booba x Kaaris - Kalash (Hyperpop remix).mp3,138,0.08681780768777872,0.16015661,0.22358638,0.14936396,0.16103023,0.35037345,0.2817907,0.31259912,0.23795758,0.337076,0.31753352,0.23055725,0.2575212,-32.551716,68.31957,-9.295789,6.883493,-3.2705257,0.9888238,-7.266479,1.0427243,-5.121529,0.92089087,-6.387464,-3.3559434,-1.3369519,4.416564,0.63212764,3.939052,1.7874984,5.7655993,0.9025985,1.505265,2791.0235778478664
Cooler Than Me.mp3,146,0.23814218065458295,0.27930695,0.26683035,0.3142467,0.28358835,0.21471404,0.23521444,0.24043085,0.37973964,0.25437143,0.23208903,0.2497217,0.23245494,8.201988,72.03999,20.45673,24.616043,13.082697,14.142089,8.219826,9.974715,-0.5439773,5.584791,-1.396992,4.2554483,-1.8210225,2.075801,0.73093295,2.3068914,-0.67995214,3.4208183,-3.4246945,1.4578596,2750.5685596243898
