song,bpm,key,distance
Cooler Than Me.mp3,146,Em,0.0
Folcoch - Not So Bad.mp3,150,Em,35.12155819302132
Matrakk - My Drums Hard [JAH001].mp3,150,Em,28.11062158210101
POSSESSION PREMIERE  AnD - 7AM Burning.mp3,148,Em,32.647950412000945
Doppler Smoke (aj the juice man 🧃  remix)(FREE DL).mp3,142,Em,38.012647932391964
JUL - Alors La Zone (PELIGRE EDIT).mp3,146,Em,28.287904480394573
The Prodigy No Good(ARMA Remix).mp3,145,Am,34.639099238102546
MATRAKK - Freed From Desire.mp3,145,C,28.349072295676205
Jean Terechkova - Melancholia [JAH063].mp3,158,Am,49.55858342556217
Arman John - Phased Reality.mp3,156,Em,30.232472610908165
Migos - Walk It Talk It (DURDENHAUER Edit) [FREE DOWNLOAD].mp3,155,Em,36.78319482965429
Ascendant Vierge - Influenceur (Nyctonian Industrial Remix)[FREE WAV DOWNLOAD].mp3,160,Bm,32.352659890264576
Oliver Tree - Miss You (Nyctonian Tech Pop  Techno Remix)[OUT ON SPOTIFY ETC!].mp3,155,F#m,32.008389173975075
Jean Terechkova - The Last Flower [HV008].mp3,155,F#m,40.34383678202049
AMRK - Exhausted (ft. Dr. Pops) [FREE DL].mp3,160,F#m,30.160501779927912
Ayo Technology (Kølab Rave Edit).mp3,163,F#m,35.98989772101936
YGNOR - Disruptive Element [JAH030].mp3,155,F#m,45.781406039630006
Cyclone.mp3,154,F#m,42.11157610839798
Matrakk - You Got The Trance.mp3,154,C#m,54.127033830194705
Amour Vitesse.mp3,152,E,33.91644025749363
Automates - Meta (feat Saddie) [RAWS1].mp3,144,C#m,42.70496580523374
"Alizée - Moi, Lolita (Prauze Edit Enfan Party).mp3",150,G#m,33.636005727137
UNNAMED - After Sa Mère.mp3,148,D#m,61.149228118697195
RAUMM & Sacha Jea - Minuit.mp3,148,F#,29.76891677338075
Amadou & Mariam - Sabali (RAUMM Edit).mp3,148,F#,26.114206309366
